latitude,longitude,acq_date,confidence,frp,daynight
50.12323,29.98574,2026-05-15,n,107.77,D
50.12844,29.99085,2026-05-15,n,21.57,D
50.13212,29.98891,2026-05-15,h,456.25,D
52.74853,25.0849,2026-05-15,n,13.12,D
64.64461,24.42789,2026-05-15,n,2.71,D
64.64572,24.4276,2026-05-15,n,3.35,D
65.56403,22.21762,2026-05-15,n,6.72,D
65.76671,24.18651,2026-05-15,n,6.39,D
65.76813,24.19444,2026-05-15,n,6.39,D
70.69098,23.59956,2026-05-15,n,5.25,D
37.43789,15.03192,2026-05-15,n,4.85,D
40.24613,17.96676,2026-05-15,n,3.55,D
40.24957,17.966,2026-05-15,n,3.55,D
40.2865,18.05939,2026-05-15,n,1.63,D
40.3896,17.36532,2026-05-15,n,3.42,D
40.41761,17.68116,2026-05-15,l,3.15,D
40.45108,16.79936,2026-05-15,n,4.86,D
40.45443,16.79856,2026-05-15,n,4.5,D
40.4655,16.87783,2026-05-15,n,4.46,D
40.50883,16.90779,2026-05-15,n,2.64,D
40.51154,16.90231,2026-05-15,n,2.64,D
40.51977,16.86164,2026-05-15,n,2.61,D
43.43876,4.89131,2026-05-15,n,5.51,D
43.52582,-5.72622,2026-05-15,n,7.19,D
43.52761,-5.72769,2026-05-15,n,7.51,D
43.78551,19.03765,2026-05-15,n,1.96,D
44.40082,28.72638,2026-05-15,n,6.81,D
44.40098,28.73261,2026-05-15,n,6.81,D
44.40181,28.72564,2026-05-15,n,6.05,D
44.40194,28.73188,2026-05-15,h,12.94,D
44.40702,28.73239,2026-05-15,h,6.81,D
44.40799,28.73163,2026-05-15,n,8.23,D
48.61745,11.28915,2026-05-15,n,2.73,D
50.12138,29.98219,2026-05-15,n,3.17,D
50.12304,29.98817,2026-05-15,n,4.9,D
50.12305,29.97959,2026-05-15,n,4.9,D
50.1278,29.99939,2026-05-15,n,70.45,D
50.12785,29.99088,2026-05-15,n,70.45,D
50.1279,29.98236,2026-05-15,h,15.81,D
50.12796,29.97384,2026-05-15,n,15.81,D
50.12955,29.99687,2026-05-15,l,90.82,D
50.12957,29.98835,2026-05-15,n,21.97,D
50.12959,29.97984,2026-05-15,h,21.97,D
50.13433,29.99954,2026-05-15,l,70.45,D
50.13438,29.99104,2026-05-15,n,70.45,D
50.13609,29.99706,2026-05-15,h,90.82,D
50.06411,6.90876,2026-05-15,n,2.79,D
50.085,6.35805,2026-05-15,n,3.17,D
50.4954,8.18418,2026-05-15,n,5.91,D
50.56683,25.07224,2026-05-15,n,2.59,D
50.90878,9.22623,2026-05-15,n,2.69,D
51.58146,8.30298,2026-05-15,n,2.61,D
51.58245,8.30863,2026-05-15,n,2.61,D
51.58384,8.35679,2026-05-15,n,1.34,D
51.58484,8.36244,2026-05-15,n,1.62,D
51.63141,8.34001,2026-05-15,n,4.57,D
51.71843,24.83804,2026-05-15,n,2.41,D
53.52016,9.90474,2026-05-15,n,5.37,D
54.72352,11.61976,2026-05-15,n,1.33,D
64.647,24.42925,2026-05-15,n,3.35,D
65.76407,24.18663,2026-05-15,n,2.78,D
66.30859,14.17975,2026-05-15,n,1.87,D
66.30887,14.17892,2026-05-15,n,6.41,D
70.69199,23.61113,2026-05-15,n,4.65,D
70.6934,23.60414,2026-05-15,n,2.11,D
70.69341,23.61494,2026-05-15,n,2.11,D
35.02595,-3.39546,2026-05-15,n,3.23,D
36.74479,-2.83752,2026-05-15,n,4.16,D
37.0166,-4.75389,2026-05-15,n,3.06,D
37.97808,-8.16905,2026-05-15,n,2.05,D
37.97872,-8.16462,2026-05-15,n,2.05,D
