latitude,longitude,acq_date,confidence,frp,daynight
51.89148,29.34176,2026-05-16,n,2.45,D
51.99504,13.00548,2026-05-16,n,11.84,D
52.02919,26.15322,2026-05-16,n,3.17,D
52.18584,28.95812,2026-05-16,n,1.93,D
53.19723,28.86375,2026-05-16,n,6.18,D
53.19742,28.86894,2026-05-16,h,11.9,D
58.6696,17.13474,2026-05-16,n,3.97,D
52.99043,12.24657,2026-05-16,n,2.74,D
52.99147,12.25237,2026-05-16,l,10.29,D
52.99474,12.25076,2026-05-16,l,11.64,D
53.34779,11.80044,2026-05-16,n,3.76,D
53.51065,10.03728,2026-05-16,n,4.87,D
53.52835,11.66758,2026-05-16,n,8.57,D
53.53277,11.65234,2026-05-16,n,11.37,D
53.63731,12.27876,2026-05-16,n,2.89,D
53.91914,11.56483,2026-05-16,l,6.42,D
53.92022,11.57077,2026-05-16,n,6.42,D
53.92349,11.56907,2026-05-16,l,6.42,D
65.56202,22.21397,2026-05-16,n,5.54,D
65.56255,22.22517,2026-05-16,n,4.7,D
65.56308,22.2207,2026-05-16,n,8.84,D
65.65817,21.93174,2026-05-16,n,5.05,D
65.65884,21.93431,2026-05-16,n,3.5,D
37.46738,-6.23694,2026-05-16,n,3.58,D
38.03294,-8.32602,2026-05-16,n,4.62,D
38.2196,-0.83914,2026-05-16,n,2.74,D
38.25924,-7.36289,2026-05-16,l,4.14,D
38.2618,-7.36855,2026-05-16,l,4.14,D
38.28133,-1.60032,2026-05-16,n,9.85,D
38.28195,-1.59538,2026-05-16,l,3.51,D
38.28482,-1.60108,2026-05-16,n,7.36,D
38.28544,-1.59614,2026-05-16,n,3.31,D
38.85679,-3.7645,2026-05-16,l,1.78,D
39.19211,-3.56805,2026-05-16,n,2.17,D
39.71051,-3.80406,2026-05-16,n,1.42,D
36.74602,6.25745,2026-05-16,n,3.08,D
36.74682,6.25611,2026-05-16,n,3.39,D
39.91681,-4.18882,2026-05-16,n,2.41,D
40.33853,-3.81015,2026-05-16,n,3.92,D
41.15297,-6.79806,2026-05-16,n,3.08,D
43.44648,4.89713,2026-05-16,n,5.95,D
43.4467,4.90126,2026-05-16,n,4.98,D
45.14727,9.94369,2026-05-16,n,6.23,D
45.42274,9.07064,2026-05-16,n,4.59,D
45.59127,11.37717,2026-05-16,n,5.07,D
46.01452,9.3685,2026-05-16,n,3.97,D
46.01485,9.36978,2026-05-16,n,3.9,D
48.98421,1.75964,2026-05-16,n,5.6,D
52.85524,-7.77678,2026-05-16,n,2.01,D
45.95164,25.28305,2026-05-16,n,1.41,N
46.06768,13.62938,2026-05-16,n,1.54,N
50.54251,26.25744,2026-05-16,n,1.91,N
51.89369,29.34193,2026-05-16,n,0.76,N
52.16761,14.62676,2026-05-16,n,2.17,N
52.16858,14.62262,2026-05-16,n,4.82,N
52.17441,14.62646,2026-05-16,n,2.17,N
52.17538,14.62236,2026-05-16,n,1.89,N
52.84512,29.98612,2026-05-16,n,1.54,N
52.84798,29.99421,2026-05-16,n,1.23,N
52.84875,29.98723,2026-05-16,n,2.15,N
53.78752,27.66694,2026-05-16,n,0.36,N
57.71216,18.80186,2026-05-16,n,1.03,N
37.08369,25.372,2026-05-17,n,0.87,N
38.12719,23.52677,2026-05-17,n,0.61,N
39.86477,26.24362,2026-05-17,n,2.93,N
40.24144,29.9262,2026-05-17,n,1.11,N
40.51864,17.20547,2026-05-17,n,1.83,N
40.62885,17.99881,2026-05-17,n,0.47,N
41.02089,28.55924,2026-05-17,n,0.75,N
41.79642,26.70154,2026-05-17,n,0.49,N
42.00634,12.71347,2026-05-17,n,1.15,N
42.7155,24.17112,2026-05-17,n,2.88,N
47.78929,28.95248,2026-05-17,n,1.2,N
48.7464,26.60367,2026-05-17,n,1.16,N
48.7489,26.60298,2026-05-17,n,0.98,N
48.84254,29.42735,2026-05-17,n,0.34,N
48.97496,24.70794,2026-05-17,n,1.59,N
49.57884,27.92029,2026-05-17,n,1.3,N
51.89174,29.33901,2026-05-17,n,0.85,N
52.84542,29.99289,2026-05-17,n,1.85,N
52.84667,29.99078,2026-05-17,n,1.03,N
55.41502,11.33681,2026-05-17,n,5.44,N
58.36018,12.37917,2026-05-17,n,0.51,N
58.66997,17.13557,2026-05-17,n,7.97,N
58.68231,17.12896,2026-05-17,n,1.89,N
59.12527,9.62032,2026-05-17,n,2.7,N
59.12866,9.62194,2026-05-17,n,1.67,N
40.51962,17.2073,2026-05-17,n,0.85,N
41.14482,16.66504,2026-05-17,n,0.3,N
42.00724,12.71567,2026-05-17,n,0.92,N
43.43836,4.88788,2026-05-17,n,1.12,N
43.44064,4.88554,2026-05-17,n,0.73,N
43.44134,4.88075,2026-05-17,n,0.73,N
43.44184,4.90083,2026-05-17,n,0.46,N
43.44254,4.89605,2026-05-17,n,1.54,N
43.44324,4.89125,2026-05-17,n,1.54,N
43.44585,4.89697,2026-05-17,n,2.06,N
43.44917,4.89789,2026-05-17,n,2.06,N
45.10022,8.88541,2026-05-17,n,1.4,N
